시도명,시군구명,읍면동명,월_평균_소득_금액,지출_총금액,좌표
서울특별시,강남구,신사동,7530577,179590337000,
서울특별시,강남구,대치1동,7421305,54055025000,
서울특별시,강남구,도곡2동,6567504,230668376000,
서울특별시,강남구,대치2동,6017362,126630413000,
서울특별시,강남구,압구정동,5808537,181745241000,
서울특별시,강남구,일원본동,5444886,17810079000,
서울특별시,강남구,도곡1동,5412484,159235318000,
서울특별시,강남구,역삼2동,5367397,2933858951000,
서울특별시,강남구,개포1동,5336373,1131824000,
서울특별시,강남구,개포2동,5195802,9588270000,
서울특별시,강남구,삼성1동,5098096,170623731000,
서울특별시,강남구,삼성2동,5055114,68196331000,
서울특별시,강남구,청담동,5010204,134200456000,
서울특별시,강남구,대치4동,4101144,317994548000,
